AppID,Name,Release date,Price,Publishers,Peak CCU,Positive,Negative,Review Ratio,class,revenue,Header image
578080,pubg: battlegrounds,2017-12-21,0.0,Krafton,275374,1154655,895978,0.5630724756697079,AAA,4493692045.440943,https://cdn.akamai.steamstatic.com/steam/apps/578080/header.jpg?t=1658287469
570,dota 2,2013-07-09,0.0,Valve,558759,1477153,300437,0.83098633543168,AAA,1985609563.187981,https://cdn.akamai.steamstatic.com/steam/apps/570/header.jpg?t=1658774750
1172470,apex legends™,2020-11-04,0.0,Electronic Arts,235067,415524,66608,0.8618469630723536,AAA,1378952231.105629,https://cdn.akamai.steamstatic.com/steam/apps/1172470/header.jpg?t=1657217209
1091500,cyberpunk 2077,2020-12-09,59.99,Cd Projekt,13739,391643,129925,0.7508953770169949,AAA,864722862.0,https://cdn.akamai.steamstatic.com/steam/apps/1091500/header.jpg?t=1649065890
1085660,destiny 2,2019-10-01,0.0,Bungie,72573,403109,77006,0.8396092602813909,AAA,817547090.6732124,https://cdn.akamai.steamstatic.com/steam/apps/1085660/header.jpg?t=1657835870
1245620,elden ring,2022-02-24,59.99,"Fromsoftware, Bandai Namco",46431,460812,51238,0.8999355531686358,AAA,765895364.0,https://cdn.akamai.steamstatic.com/steam/apps/1245620/header.jpg?t=1654259241
230410,warframe,2013-03-25,0.0,Digital Extremes,60270,442724,48241,0.901742486735307,AAA,748007077.9995203,https://cdn.akamai.steamstatic.com/steam/apps/230410/header.jpg?t=1658079532
2358720,black myth: wukong,2024-08-19,59.99,Game Science,1214621,663109,28700,0.9585145610999568,AAA,701660921.0,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2358720/header.jpg?t=1725007201
1086940,baldur's gate 3,2020-10-06,59.99,Larian,4340,45069,6614,0.8720275525801521,AAA,696916523.0,https://cdn.akamai.steamstatic.com/steam/apps/1086940/header.jpg?t=1657252325
582010,monster hunter: world,2018-08-09,29.99,Capcom,24736,306872,51885,0.8553756442383006,AAA,495135535.0,https://cdn.akamai.steamstatic.com/steam/apps/582010/header.jpg?t=1644281885
1174180,red dead redemption 2,2019-12-05,29.99,Rockstar,26520,251841,32592,0.8854141397095274,AAA,464063302.0,https://cdn.akamai.steamstatic.com/steam/apps/1174180/header.jpg?t=1656615305
2620,call of duty®,2006-10-13,19.99,Activision,78,3842,216,0.9467718087727944,AAA,455053045.75913846,https://cdn.akamai.steamstatic.com/steam/apps/2620/header.jpg?t=1646762112
252490,rust,2018-02-08,39.99,Facepunch,96112,703687,108223,0.8667056693475877,AA,418798263.0,https://cdn.akamai.steamstatic.com/steam/apps/252490/header.jpg?t=1656003795
1623730,palworld,2024-01-18,26.99,Pocketpair,1284268,12877,1028,0.926069759079468,AA,405507916.0,https://cdn.akamai.steamstatic.com/steam/apps/1623730/header.jpg?t=1705662211
553850,helldivers™ 2,2024-02-08,39.99,Playstation Pc,150748,20760,5981,0.776335963501739,Indie,405277337.0,https://cdn.akamai.steamstatic.com/steam/apps/553850/header.jpg?t=1707382710
990080,hogwarts legacy,2023-02-10,59.99,Warner Bros,872138,33521,2000,0.9436952788491316,AAA,401950869.0,https://cdn.akamai.steamstatic.com/steam/apps/990080/header.jpg?t=1676056674
1599340,lost ark,2022-02-11,0.0,Amazon,287501,124308,44066,0.7382850083742145,AAA,398035601.5949871,https://cdn.akamai.steamstatic.com/steam/apps/1599340/header.jpg?t=1658335774
236390,war thunder,2013-08-15,0.0,Gaijin Distribution Kft,48352,246926,67506,0.7853081111337269,Indie,397075806.8728135,https://cdn.akamai.steamstatic.com/steam/apps/236390/header.jpg?t=1657292099
550,left 4 dead 2,2009-11-16,9.99,Valve,44449,619457,16204,0.9745084250882152,AAA,395804468.0,https://cdn.akamai.steamstatic.com/steam/apps/550/header.jpg?t=1657220736
275850,no man's sky,2016-08-12,29.99,Hello,32144,181803,57094,0.7610099750101508,AA,358453655.0,https://cdn.akamai.steamstatic.com/steam/apps/275850/header_alt_assets_12.jpg?t=1658387858
814380,sekiro™: shadows die twice - goty edition,2019-03-21,59.99,"Fromsoftware, 方块游戏, Activision",6168,179498,9339,0.950544649618454,AAA,345945782.0,https://cdn.akamai.steamstatic.com/steam/apps/814380/header.jpg?t=1603904569
289070,sid meier’s civilization® vi,2016-10-20,59.99,"2k games, Aspyr",37024,186295,36439,0.8364012678800722,AAA,343557641.0,https://cdn.akamai.steamstatic.com/steam/apps/289070/header.jpg?t=1658335453
1203220,naraka: bladepoint,2021-08-11,19.99,Netease,61338,86893,24106,0.782826872314165,AA,327062008.0454546,https://cdn.akamai.steamstatic.com/steam/apps/1203220/header.jpg?t=1655953882
239140,dying light,2015-01-26,29.99,Techland,5110,316493,16568,0.950255358627999,AAA,315847533.0,https://cdn.akamai.steamstatic.com/steam/apps/239140/header.jpg?t=1657116172
346110,ark: survival evolved,2017-08-27,29.99,Wildcard,98215,461567,98701,0.8238325230068467,AA,303864504.0,https://cdn.akamai.steamstatic.com/steam/apps/346110/header.jpg?t=1655137924
359550,tom clancy's rainbow six® siege,2015-12-01,19.99,Ubisoft,42263,929372,138530,0.8702783588756272,AAA,300182691.0,https://cdn.akamai.steamstatic.com/steam/apps/359550/header.jpg?t=1655223333
377160,fallout 4,2015-11-09,19.99,Bethesda Softworks,23636,229418,53135,0.8119467852048996,AAA,293485559.0,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928
1326470,sons of the forest,2023-02-23,29.99,Newnight,405191,31006,5954,0.8389069264069264,AA,282727818.0,https://cdn.akamai.steamstatic.com/steam/apps/1326470/header.jpg?t=1677179639
440,team fortress 2,2007-10-10,0.0,Valve,107702,823693,56683,0.935615009950294,AAA,279264176.702286,https://cdn.akamai.steamstatic.com/steam/apps/440/header.jpg?t=1592263852
489830,the elder scrolls v: skyrim special edition,2016-10-27,39.99,Bethesda Softworks,26777,198312,19722,0.9095462175623984,AAA,272455582.0,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796
221100,dayz,2018-12-13,44.99,Bohemia,39862,221274,89537,0.711924610132846,AAA,270310361.0,https://cdn.akamai.steamstatic.com/steam/apps/221100/header.jpg?t=1658234476
