date,count,timestamp,type
1997-06-30,1,867628800000,daily
1997-11-14,1,879465600000,daily
1998-11-08,1,910483200000,daily
1999-04-01,1,922924800000,daily
1999-09-08,1,936748800000,daily
1999-11-01,1,941414400000,daily
2000-11-01,2,973036800000,daily
2001-03-15,1,984614400000,daily
2001-06-01,2,991353600000,daily
2001-12-01,1,1007164800000,daily
2002-08-28,1,1030492800000,daily
2003-05-01,1,1051747200000,daily
2003-07-01,1,1057017600000,daily
2003-11-01,1,1067644800000,daily
2004-03-01,1,1078099200000,daily
2004-03-17,1,1079481600000,daily
2004-06-01,1,1086048000000,daily
2004-11-01,2,1099267200000,daily
2004-11-16,1,1100563200000,daily
2005-04-01,1,1112313600000,daily
2005-07-11,1,1121040000000,daily
2005-07-14,1,1121299200000,daily
2005-08-16,1,1124150400000,daily
2005-10-12,1,1129075200000,daily
2005-10-27,1,1130371200000,daily
2005-11-29,1,1133222400000,daily
2006-02-07,2,1139270400000,daily
2006-03-14,1,1142294400000,daily
2006-04-01,1,1143849600000,daily
2006-05-01,1,1146441600000,daily
2006-05-08,1,1147046400000,daily
2006-05-10,1,1147219200000,daily
2006-06-01,1,1149120000000,daily
2006-07-06,2,1152144000000,daily
2006-07-11,1,1152576000000,daily
2006-07-21,2,1153440000000,daily
2006-08-23,1,1156291200000,daily
2006-08-24,1,1156377600000,daily
2006-08-30,15,1156896000000,daily
2006-09-11,1,1157932800000,daily
2006-09-14,2,1158192000000,daily
2006-09-29,1,1159488000000,daily
2006-10-11,1,1160524800000,daily
2006-10-13,4,1160697600000,daily
2006-10-16,1,1160956800000,daily
2006-10-25,4,1161734400000,daily
2006-10-26,3,1161820800000,daily
2006-11-01,1,1162339200000,daily
2006-11-15,1,1163548800000,daily
2006-11-20,1,1163980800000,daily
2006-11-22,1,1164153600000,daily
2006-11-24,1,1164326400000,daily
2006-11-29,1,1164758400000,daily
2006-12-14,1,1166054400000,daily
2006-12-19,1,1166486400000,daily
2006-12-21,2,1166659200000,daily
2007-01-12,1,1168560000000,daily
2007-01-24,1,1169596800000,daily
2007-02-02,1,1170374400000,daily
2007-02-27,1,1172534400000,daily
2007-03-06,1,1173139200000,daily
2007-03-13,1,1173744000000,daily
2007-03-14,2,1173830400000,daily
2007-03-15,9,1173916800000,daily
2007-03-20,2,1174348800000,daily
2007-03-22,1,1174521600000,daily
2007-03-27,1,1174953600000,daily
2007-03-29,6,1175126400000,daily
2007-04-03,1,1175558400000,daily
2007-04-06,2,1175817600000,daily
2007-05-01,1,1177977600000,daily
2007-05-04,4,1178236800000,daily
2007-06-05,1,1181001600000,daily
2007-06-12,1,1181606400000,daily
2007-06-15,2,1181865600000,daily
2007-06-18,1,1182124800000,daily
2007-06-25,1,1182729600000,daily
2007-06-26,1,1182816000000,daily
2007-07-03,1,1183420800000,daily
2007-07-17,3,1184630400000,daily
2007-07-24,1,1185235200000,daily
2007-08-03,20,1186099200000,daily
2007-08-06,1,1186358400000,daily
2007-08-07,3,1186444800000,daily
2007-08-21,1,1187654400000,daily
2007-08-28,2,1188259200000,daily
2007-09-11,1,1189468800000,daily
2007-09-24,1,1190592000000,daily
2007-10-10,3,1191974400000,daily
2007-10-15,1,1192406400000,daily
2007-10-16,1,1192492800000,daily
2007-10-26,1,1193356800000,daily
2007-10-30,1,1193702400000,daily
2007-11-07,1,1194393600000,daily
2007-11-08,1,1194480000000,daily
2007-11-12,1,1194825600000,daily
2007-11-14,1,1194998400000,daily
2007-12-13,2,1197504000000,daily
2008-01-04,7,1199404800000,daily
2008-01-29,4,1201564800000,daily
2008-02-08,1,1202428800000,daily
2008-02-13,1,1202860800000,daily
2008-02-20,1,1203465600000,daily
2008-02-28,1,1204156800000,daily
2008-02-29,1,1204243200000,daily
2008-03-05,1,1204675200000,daily
2008-03-12,6,1205280000000,daily
2008-03-17,3,1205712000000,daily
2008-04-01,2,1207008000000,daily
2008-04-09,2,1207699200000,daily
2008-04-16,3,1208304000000,daily
2008-05-12,4,1210550400000,daily
2008-05-13,5,1210636800000,daily
2008-05-16,1,1210896000000,daily
2008-05-28,1,1211932800000,daily
2008-06-05,1,1212624000000,daily
2008-06-10,2,1213056000000,daily
2008-06-13,6,1213315200000,daily
2008-06-17,2,1213660800000,daily
2008-06-27,1,1214524800000,daily
2008-07-01,1,1214870400000,daily
2008-07-08,1,1215475200000,daily
2008-07-09,1,1215561600000,daily
2008-07-15,3,1216080000000,daily
2008-07-17,1,1216252800000,daily
2008-07-18,1,1216339200000,daily
2008-07-28,1,1217203200000,daily
2008-07-29,1,1217289600000,daily
2008-08-07,2,1218067200000,daily
2008-08-18,1,1219017600000,daily
2008-08-26,1,1219708800000,daily
2008-08-28,2,1219881600000,daily
2008-09-04,3,1220486400000,daily
2008-09-15,1,1221436800000,daily
2008-09-17,2,1221609600000,daily
2008-09-19,2,1221782400000,daily
2008-09-22,1,1222041600000,daily
2008-09-23,1,1222128000000,daily
2008-09-25,1,1222300800000,daily
2008-09-29,2,1222646400000,daily
2008-09-30,1,1222732800000,daily
2008-10-03,1,1222992000000,daily
2008-10-08,2,1223424000000,daily
2008-10-10,3,1223596800000,daily
2008-10-13,1,1223856000000,daily
2008-10-15,1,1224028800000,daily
2008-10-16,1,1224115200000,daily
2008-10-20,1,1224460800000,daily
2008-10-21,1,1224547200000,daily
2008-10-22,1,1224633600000,daily
2008-10-23,1,1224720000000,daily
2008-10-28,1,1225152000000,daily
2008-10-31,1,1225411200000,daily
2008-11-01,1,1225497600000,daily
2008-11-03,2,1225670400000,daily
2008-11-06,1,1225929600000,daily
2008-11-14,1,1226620800000,daily
2008-11-17,1,1226880000000,daily
2008-11-18,2,1226966400000,daily
2008-11-21,4,1227225600000,daily
2008-11-25,1,1227571200000,daily
2008-12-01,1,1228089600000,daily
2008-12-05,1,1228435200000,daily
2008-12-08,1,1228694400000,daily
2008-12-10,1,1228867200000,daily
2008-12-12,2,1229040000000,daily
2008-12-15,2,1229299200000,daily
2008-12-18,3,1229558400000,daily
2008-12-19,4,1229644800000,daily
2009-01-07,2,1231286400000,daily
2009-01-08,1,1231372800000,daily
2009-01-09,1,1231459200000,daily
2009-01-14,1,1231891200000,daily
2009-01-23,3,1232668800000,daily
2009-01-28,1,1233100800000,daily
2009-02-04,2,1233705600000,daily
2009-02-10,1,1234224000000,daily
2009-02-11,1,1234310400000,daily
2009-02-12,1,1234396800000,daily
2009-02-13,3,1234483200000,daily
2009-02-18,1,1234915200000,daily
2009-02-24,1,1235433600000,daily
2009-02-25,1,1235520000000,daily
2009-03-04,2,1236124800000,daily
2009-03-05,1,1236211200000,daily
2009-03-06,1,1236297600000,daily
2009-03-09,3,1236556800000,daily
2009-03-12,1,1236816000000,daily
2009-03-18,1,1237334400000,daily
2009-03-20,1,1237507200000,daily
2009-03-23,1,1237766400000,daily
2009-03-24,1,1237852800000,daily
2009-03-26,1,1238025600000,daily
2009-04-02,1,1238630400000,daily
2009-04-07,1,1239062400000,daily
2009-04-08,1,1239148800000,daily
2009-04-09,1,1239235200000,daily
2009-04-10,1,1239321600000,daily
2009-04-15,2,1239753600000,daily
2009-04-21,1,1240272000000,daily
2009-04-27,1,1240790400000,daily
2009-04-30,3,1241049600000,daily
2009-05-01,2,1241136000000,daily
2009-05-05,1,1241481600000,daily
2009-05-06,4,1241568000000,daily
2009-05-12,1,1242086400000,daily
2009-05-14,1,1242259200000,daily
2009-05-20,1,1242777600000,daily
2009-05-26,1,1243296000000,daily
2009-05-27,5,1243382400000,daily
2009-05-29,1,1243555200000,daily
2009-06-10,1,1244592000000,daily
2009-06-16,5,1245110400000,daily
2009-06-17,1,1245196800000,daily
2009-06-18,14,1245283200000,daily
2009-06-22,1,1245628800000,daily
2009-06-23,2,1245715200000,daily
2009-07-02,2,1246492800000,daily
2009-07-07,3,1246924800000,daily
2009-07-08,9,1247011200000,daily
2009-07-09,1,1247097600000,daily
2009-07-13,2,1247443200000,daily
2009-07-15,1,1247616000000,daily
2009-07-16,1,1247702400000,daily
2009-07-17,7,1247788800000,daily
2009-07-20,2,1248048000000,daily
2009-07-21,1,1248134400000,daily
2009-07-23,3,1248307200000,daily
2009-07-26,1,1248566400000,daily
2009-07-27,1,1248652800000,daily
2009-07-28,1,1248739200000,daily
2009-07-31,1,1248998400000,daily
2009-08-05,1,1249430400000,daily
2009-08-06,3,1249516800000,daily
2009-08-07,2,1249603200000,daily
2009-08-12,4,1250035200000,daily
2009-08-18,1,1250553600000,daily
2009-08-19,4,1250640000000,daily
2009-08-20,1,1250726400000,daily
2009-08-24,2,1251072000000,daily
2009-08-27,1,1251331200000,daily
2009-09-03,2,1251936000000,daily
2009-09-04,1,1252022400000,daily
2009-09-05,1,1252108800000,daily
2009-09-08,1,1252368000000,daily
2009-09-15,3,1252972800000,daily
2009-09-16,5,1253059200000,daily
2009-09-17,3,1253145600000,daily
2009-09-25,1,1253836800000,daily
2009-09-28,1,1254096000000,daily
2009-09-29,2,1254182400000,daily
2009-10-02,1,1254441600000,daily
2009-10-06,5,1254787200000,daily
2009-10-10,7,1255132800000,daily
2009-10-14,1,1255478400000,daily
2009-10-15,1,1255564800000,daily
2009-10-16,1,1255651200000,daily
2009-10-20,1,1255996800000,daily
2009-10-21,2,1256083200000,daily
2009-10-27,2,1256601600000,daily
2009-10-28,2,1256688000000,daily
2009-10-29,4,1256774400000,daily
2009-10-30,2,1256860800000,daily
2009-11-01,1,1257033600000,daily
2009-11-03,1,1257206400000,daily
2009-11-04,2,1257292800000,daily
2009-11-06,1,1257465600000,daily
2009-11-11,2,1257897600000,daily
2009-11-12,1,1257984000000,daily
2009-11-13,2,1258070400000,daily
2009-11-16,2,1258329600000,daily
2009-11-18,1,1258502400000,daily
2009-11-19,2,1258588800000,daily
2009-11-24,2,1259020800000,daily
2009-11-25,1,1259107200000,daily
2009-12-01,1,1259625600000,daily
2009-12-02,3,1259712000000,daily
2009-12-04,1,1259884800000,daily
2009-12-10,1,1260403200000,daily
2009-12-11,1,1260489600000,daily
2009-12-15,2,1260835200000,daily
2009-12-17,2,1261008000000,daily
2009-12-22,1,1261440000000,daily
2009-12-23,1,1261526400000,daily
2010-01-08,1,1262908800000,daily
2010-01-12,1,1263254400000,daily
2010-01-13,1,1263340800000,daily
2010-01-15,1,1263513600000,daily
2010-01-26,1,1264464000000,daily
2010-01-27,1,1264550400000,daily
2010-01-28,1,1264636800000,daily
2010-02-03,2,1265155200000,daily
2010-02-09,1,1265673600000,daily
2010-02-11,1,1265846400000,daily
2010-02-12,1,1265932800000,daily
2010-02-15,3,1266192000000,daily
2010-02-16,1,1266278400000,daily
2010-02-17,1,1266364800000,daily
2010-02-18,1,1266451200000,daily
2010-02-19,1,1266537600000,daily
2010-02-20,1,1266624000000,daily
2010-02-23,1,1266883200000,daily
2010-02-25,1,1267056000000,daily
2010-03-01,1,1267401600000,daily
2010-03-02,4,1267488000000,daily
2010-03-03,1,1267574400000,daily
2010-03-09,1,1268092800000,daily
2010-03-10,1,1268179200000,daily
2010-03-15,2,1268611200000,daily
2010-03-16,2,1268697600000,daily
2010-03-17,1,1268784000000,daily
2010-03-23,1,1269302400000,daily
2010-03-26,1,1269561600000,daily
2010-03-31,1,1269993600000,daily
2010-04-08,1,1270684800000,daily
2010-04-14,1,1271203200000,daily
2010-04-15,1,1271289600000,daily
2010-04-20,2,1271721600000,daily
